Instance,Edges,k,Seed,Objective,Total Time (s),Evals
ktruss1,45,8,7537,41.403882,18.854,9925
ktruss1,45,8,3472,41.519709,18.761,5508
ktruss1,45,8,3714,41.686396,19.484,7932
ktruss1,45,8,8158,41.519709,18.601,1902
ktruss1,45,8,7284,42.42389,18.536,14715
ktruss1,45,8,6948,42.115827,19.921,8568
ktruss1,45,8,6119,39.720914,18.512,2159
ktruss1,45,8,5253,41.403882,18.456,859
ktruss1,45,8,5134,41.01941,17.926,6658
ktruss1,45,8,7350,40.150345,18.538,998
ktruss1,45,8,2652,42.588745,18.856,962
ktruss1,45,8,9968,39.720914,19.335,3376
ktruss1,45,8,3914,42.16822,18.444,2437
ktruss1,45,8,6899,41.686396,18.508,14997
ktruss1,45,8,4715,41.403882,18.551,7493
ktruss2,79,2,8115,203.446669,46.751,4746
ktruss2,79,2,3520,203.997529,45.614,14093
ktruss2,79,2,8647,200.647874,46.137,587
ktruss2,79,2,9420,199.691298,46.052,9254
ktruss2,79,2,3116,200.209175,46.127,3487
ktruss2,79,2,6377,202.412151,45.6,7805
ktruss2,79,2,6207,200.999062,46.216,14545
ktruss2,79,2,4187,198.323467,47.231,5248
ktruss2,79,2,3641,203.049922,46.233,557
ktruss2,79,2,8591,204.636833,46.634,4491
ktruss2,79,2,3580,202.579137,46.432,14149
ktruss2,79,2,8524,203.393438,47.098,9191
ktruss2,79,2,2650,201.981486,47.756,12152
ktruss2,79,2,2811,200.578838,46.235,2524
ktruss2,79,2,9963,201.227351,47.094,14979
ktruss2,79,2,7537,199.28925,45.445,5518
ktruss2,79,2,3472,202.27791,47.686,14777
ktruss2,79,2,3714,204.341643,46.516,5576
ktruss2,79,2,8158,201.622862,46.136,8984
ktruss2,79,2,7284,201.664216,46.372,6228
ktruss2,79,2,6948,200.999363,45.464,2899
ktruss2,79,2,6119,202.015404,45.994,14032
ktruss2,79,2,5253,204.369024,47.02,7285
ktruss2,79,2,5134,199.946968,46.095,2525
ktruss2,79,2,7350,203.40171,45.67,3309
ktruss2,79,2,2652,204.453804,46.972,4500
ktruss2,79,2,9968,200.59518,46.002,5514
ktruss2,79,2,3914,203.052055,46.375,12444
ktruss2,79,2,6899,202.385067,47.051,241
ktruss2,79,2,4715,201.113356,46.147,8597
ktruss2,79,4,8115,111.233189,47.781,7195
ktruss2,79,4,3520,109.63737,47.605,85
ktruss2,79,4,8647,109.880167,47.916,4256
ktruss2,79,4,9420,114.399876,46.961,1457
ktruss2,79,4,3116,110.461476,47.724,7551
ktruss2,79,4,6377,110.776914,47.81,4600
ktruss2,79,4,6207,115.861991,49.246,9335
ktruss2,79,4,4187,111.681095,48.831,7886
ktruss2,79,4,3641,114.489158,49.051,9940
ktruss2,79,4,8591,106.153413,47.219,5172
ktruss2,79,4,3580,113.142673,47.084,7694
ktruss2,79,4,8524,113.443601,48.103,4955
ktruss2,79,4,2650,111.416218,49.952,3848
ktruss2,79,4,2811,112.249531,48.358,9324
ktruss2,79,4,9963,111.802524,47.947,1770
ktruss2,79,4,7537,112.523375,48.852,6719
ktruss2,79,4,3472,113.056061,48.851,3269
ktruss2,79,4,3714,109.69897,48.759,6941
ktruss2,79,4,8158,110.093645,48.807,4531
ktruss2,79,4,7284,111.889136,48.083,1156
